Fecha,Contrato,Usuario,Nodo Comercial Recepción,Descripción Nodo Comercial Recepción ,Nodo Comercial Entrega,Descripción Nodo Comercial Entrega,Zona de Tarifa de Inyección,Zona de Tarifa de Extracción,Cantidad Nominada Recepción (GJ/día),Cantidad Asignada Recepción (GJ/día),Cantidad Nominada Entrega (GJ/día),Cantidad Asignada Entrega (GJ/día), Gas en Exceso (GJ/día),Tarifa Exceso Firme (Pesos/GJ) ,Tarifa Uso Interrumpible (Pesos/GJ),Cargo Uso (Pesos),Cargo Gas en Exceso (Pesos),Total a facturar (Pesos)
13/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,2833.39,2833.39,2786,3320.522,0.00,13.713330,13.713330,45535.41,0.00,45535.41
13/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,1972.999,1972.999,1940,1940,0.00,3.667480,3.667480,0.00,0.00,0.00
13/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,2403.195,2403.195,2363,2497.07,0.00,3.667480,3.667480,9157.95,0.00,9157.95
13/01/2021,CENAGAS/B/800/18,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,1850.958,1850.958,1820,1646.224,0.00,15.847040,15.847040,26087.78,0.00,26087.78
13/01/2021,CENAGAS/B/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,1627.216,1627.216,1600,1600,0.00,3.667480,3.667480,0.00,0.00,0.00
13/01/2021,CENAGAS/B/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,1600.774,1600.774,1574,1574,0.00,3.667480,3.667480,0.00,0.00,0.00
13/01/2021,CENAGAS/A/100/17,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,0,0,0,0,0.00,1.333220,1.333220,0.00,0.00,0.00
13/01/2021,CENAGAS/A/600/18,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,0,0,0,0,0.00,3.553100,3.553100,0.00,0.00,0.00
13/01/2021,CENAGAS/B/400/17,BP Energía México,V067,IMPENERGT,N037,BPPUEBLA,Zona 3,Zona 7,7719.106,7719.106,7590,6012.147,0.00,13.713330,13.713330,0.00,0.00,0.00
13/01/2021,CENAGAS/A/300/18,BP Energía México,V067,IMPENERGT,N054,BPTIZAYUCA,Zona 3,Zona 5,1090.235,1090.235,1072,631.936,0.00,15.847040,15.847040,0.00,0.00,0.00
13/01/2021,CENAGAS/A/600/17,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,3096.795,3096.795,3045,3595.476,0.00,13.713330,13.713330,0.00,0.00,0.00
13/01/2021,CENAGAS/A/700/17,Energía Infra,V030,GLORIADIOS,N128,EZAPATA2,Zona 1,Zona 5,1474.665,1474.665,1450,1388.907,0.00,3.667480,3.667480,0.00,0.00,0.00
13/01/2021,CENAGAS/A/200/19,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,8379.145,8379.145,8239,8239,237.42,17.087160,17.087160,0.00,4056.78,4056.78
13/01/2021,CENAGAS/A/400/17,BP Energía México,V067,IMPENERGT,N037,BPPUEBLA,Zona 3,Zona 7,2034.02,2034.02,2000,2772.618,772.62,17.087160,17.087160,0.00,13201.85,13201.85
13/01/2021,CENAGAS/A/800/17,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,1795.023,1795.023,1765,1546.979,0.00,4.566080,4.566080,0.00,0.00,0.00
13/01/2021,CENAGAS/A/100/19,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,8928.331,8928.331,8779,4218.22,0.00,13.713330,13.713330,0.00,0.00,0.00
13/01/2021,CENAGAS/A/800/18,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,5796.957,5796.957,5700,6793.603,0.00,13.713330,13.713330,0.00,0.00,0.00
13/01/2021,CENAGAS/B/300/18,BP Energía México,V067,IMPENERGT,N054,BPTIZAYUCA,Zona 3,Zona 5,410.872,410.872,404,404,0.00,3.667480,3.667480,0.00,0.00,0.00
13/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,691.567,691.567,680,680,0.00,15.847040,15.847040,0.00,0.00,0.00
13/01/2021,CENAGAS/B/100/17,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,2924.921,2647.155,2876,2876,7.00,7.876970,7.876970,0.00,55.14,55.14
14/01/2021,CENAGAS/A/500/18,Comisión Federal de Electricidad,V045,PEPMENDOZA,E168,CFESALAMANCACOG,Zona 7,Zona 6,0,0,0,0,0.00,1.419390,1.419390,0.00,0.00,0.00
14/01/2021,CENAGAS/A/100/18,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,3572.756,3572.756,3513,3261.991,0.00,1.419390,1.419390,0.00,0.00,0.00
14/01/2021,CENAGAS/B/100/19,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,915.309,915.309,900,900,0.00,17.087160,17.087160,0.00,0.00,0.00
14/01/2021,CENAGAS/A/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,61.021,61.021,60,262.081,0.00,3.667480,3.667480,961.18,0.00,961.18
14/01/2021,CENAGAS/A/500/17,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,0,0,0,0,0.00,13.713330,13.713330,0.00,0.00,0.00
14/01/2021,CENAGAS/A/200/18,Naturgy Servicios,V033,IMPTENNESSEE,N103,NORESTE,Zona 3,Zona 3,130.177,130.177,128,0,0.00,15.847040,15.847040,0.00,0.00,0.00
14/01/2021,CENAGAS/A/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1477.716,1477.716,1453,1330.459,0.00,17.087160,17.087160,22733.77,0.00,22733.77
14/01/2021,CENAGAS/B/200/19,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,3273.755,3273.755,3219,3866.392,0.00,17.087160,17.087160,66065.66,0.00,66065.66
14/01/2021,CENAGAS/B/600/17,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,1118.711,1118.711,1100,6731.357,0.00,3.667480,3.667480,24687.12,0.00,24687.12
14/01/2021,CENAGAS/B/300/17,Enestas,V907,LAVENTA,N031,MORELIA2,Zona 8,Zona 6,1249.905,1249.905,1229,1697.319,0.00,17.087160,17.087160,29002.36,0.00,29002.36
14/01/2021,CENAGAS/A/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,952.938,952.938,937,1046.081,0.00,15.847040,15.847040,16577.29,0.00,16577.29
14/01/2021,CENAGAS/A/900/18,Energía Infra,V030,GLORIADIOS,N128,EZAPATA2,Zona 1,Zona 5,5401.34,5401.34,5311,2461.899,0.00,13.713330,13.713330,33760.83,0.00,33760.83
14/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,2829.322,2829.322,2782,3117.807,0.00,13.713330,13.713330,42755.52,0.00,42755.52
14/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,1972.999,1972.999,1940,1940,0.00,3.667480,3.667480,0.00,0.00,0.00
14/01/2021,CENAGAS/A/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,2403.195,2403.195,2363,2585.548,0.00,3.667480,3.667480,9482.45,0.00,9482.45
14/01/2021,CENAGAS/B/800/18,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,1850.958,1850.958,1820,1683.736,0.00,15.847040,15.847040,26682.23,0.00,26682.23
14/01/2021,CENAGAS/B/900/17,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,1627.216,1627.216,1600,1600,0.00,3.667480,3.667480,0.00,0.00,0.00
14/01/2021,CENAGAS/B/400/18,Naturgy Servicios,V061,RAMONES,N046,RAMOSARIZPE3,Zona 3,Zona 2,1600.774,1600.774,1574,1574,0.00,3.667480,3.667480,0.00,0.00,0.00
14/01/2021,CENAGAS/A/100/17,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,0,0,0,0,0.00,1.333220,1.333220,0.00,0.00,0.00
14/01/2021,CENAGAS/A/600/18,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,0,0,0,0,0.00,3.553100,3.553100,0.00,0.00,0.00
14/01/2021,CENAGAS/B/400/17,BP Energía México,V067,IMPENERGT,N037,BPPUEBLA,Zona 3,Zona 7,7821.824,7821.824,7691,6895.404,0.00,13.713330,13.713330,0.00,0.00,0.00
14/01/2021,CENAGAS/A/300/18,BP Energía México,V067,IMPENERGT,N054,BPTIZAYUCA,Zona 3,Zona 5,1090.235,1090.235,1072,591.023,0.00,15.847040,15.847040,0.00,0.00,0.00
14/01/2021,CENAGAS/A/600/17,Naturgy Servicios,V061,RAMONES,N101,BAJIO2,Zona 3,Zona 5,3101.881,3101.881,3050,3242.964,0.00,13.713330,13.713330,0.00,0.00,0.00
14/01/2021,CENAGAS/A/700/17,Energía Infra,V030,GLORIADIOS,N128,EZAPATA2,Zona 1,Zona 5,1474.665,1474.665,1450,1385.159,0.00,3.667480,3.667480,0.00,0.00,0.00
14/01/2021,CENAGAS/A/200/19,Naturgy Servicios,V033,IMPTENNESSEE,E076,VENTACARPIO,Zona 3,Zona 5,8271.342,8271.342,8133,8133,131.42,17.087160,17.087160,0.00,2245.54,2245.54
14/01/2021,CENAGAS/A/400/17,BP Energía México,V067,IMPENERGT,N037,BPPUEBLA,Zona 3,Zona 7,2034.02,2034.02,2000,2762.115,762.12,17.087160,17.087160,0.00,13022.38,13022.38
14/01/2021,CENAGAS/A/800/17,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,1795.023,1795.023,1765,1660.155,0.00,4.566080,4.566080,0.00,0.00,0.00
14/01/2021,CENAGAS/A/100/19,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,8928.331,8928.331,8779,4069.48,0.00,13.713330,13.713330,0.00,0.00,0.00
14/01/2021,CENAGAS/A/800/18,NEG Natural,V061,RAMONES,N119,VREYES,Zona 3,Zona 5,5796.957,5796.957,5700,6388.03,0.00,13.713330,13.713330,0.00,0.00,0.00
14/01/2021,CENAGAS/B/300/18,BP Energía México,V067,IMPENERGT,N054,BPTIZAYUCA,Zona 3,Zona 5,410.872,410.872,404,404,0.00,3.667480,3.667480,0.00,0.00,0.00
14/01/2021,CENAGAS/B/700/18,Energía Infra,V034,IMPTETCO,E063,SALTILLO,Zona 3,Zona 2,691.567,691.567,680,680,0.00,15.847040,15.847040,0.00,0.00,0.00
14/01/2021,CENAGAS/B/100/17,Pemex Transformación Industrial,V025,CACTUSNVOPMX,E095,AGUADULCE,Zona 8,Zona 8,2924.921,1981.324,2876,2876,7.00,7.876970,7.876970,0.00,55.14,55.14
